Player,Team,Season,MinutesIncludes stoppage time.,Shots Faced,Goals Conceded,Saves,Header %Share of shots faced that were headed.,xGxGoals,G-xG,G/xG,Birth Year,Age
Adam Grinwis,ORL,2018,487,20,6,14,0.05,5.9195,0.0805,1.0136,1992,26
Adam Larsen Kwarasey,POR,2016,639,31,12,19,0.1613,7.6756,4.3244,1.5634,1987,29
Adam Larsen Kwarasey,POR,2015,3200,120,36,80,0.1083,30.7202,5.2798,1.1719,1987,28
Alec Kann,SKC,2016,683,28,11,17,0.2143,10.293,0.707,1.0687,1990,26
Alec Kann,ATL,2017,1750,83,23,56,0.1807,26.7349,-3.7349,0.8603,1990,27
Alex Bono,TOR,2019,612,28,11,16,0.1429,10.7396,0.2604,1.0242,1994,25
Alex Bono,TOR,2016,1478,60,15,42,0.1667,14.2545,0.7455,1.0523,1994,22
Alex Bono,TOR,2018,2631,137,45,90,0.1533,38.4689,6.5311,1.1698,1994,24
Alex Bono,TOR,2017,2766,104,32,72,0.0962,33.189,-1.189,0.9642,1994,23
Andre Blake,PHI,2015,572,34,8,26,0.0588,10.8101,-2.8101,0.7401,1990,25
Andre Blake,PHI,2017,2523,125,34,88,0.112,35.8301,-1.8301,0.9489,1990,27
Andre Blake,PHI,2019,2541,103,40,59,0.1456,29.5816,10.4184,1.3522,1990,29
Andre Blake,PHI,2016,3114,150,50,99,0.1733,45.3853,4.6147,1.1017,1990,26
Andre Blake,PHI,2018,3218,169,49,117,0.1361,47.1649,1.8351,1.0389,1990,28
Andrew Dykstra,SKC,2017,335,14,4,10,0.1429,3.0896,0.9104,1.2947,1986,31
Andrew Dykstra,DCU,2014,391,9,3,6,0.1111,2.203,0.797,1.3618,1986,28
Andrew Dykstra,DCU,2015,840,57,16,40,0.0877,18.9593,-2.9593,0.8439,1986,29
Andrew Putna,RSL,2019,493,19,6,12,0.2632,8.1203,-2.1203,0.7389,1994,25
Andrew Tarbell,SJE,2017,1069,65,25,40,0.1385,24.3235,0.6765,1.0278,1993,24
Andrew Tarbell,SJE,2018,2839,152,60,87,0.1447,51.9071,8.0929,1.1559,1993,25
Andy Gruenebaum,SKC,2014,1019,45,10,34,0.1333,12.9707,-2.9707,0.771,1982,32
Andy Gruenebaum,CLB,2013,2048,100,28,71,0.1,29.4942,-1.4942,0.9493,1982,31
Bill Hamid,DCU,2018,1373,63,12,51,0.127,13.3388,-1.3388,0.8996,1990,28
Bill Hamid,DCU,2016,1940,93,25,68,0.1398,26.1071,-1.1071,0.9576,1990,26
Bill Hamid,DCU,2017,2329,132,32,98,0.1818,33.5658,-1.5658,0.9534,1990,27
Bill Hamid,DCU,2013,2420,119,37,80,0.1597,41.0729,-4.0729,0.9008,1990,23
Bill Hamid,DCU,2015,2422,133,29,101,0.1203,34.4115,-5.4115,0.8427,1990,25
Bill Hamid,DCU,2014,2923,146,34,110,0.1301,43.1987,-9.1987,0.7871,1990,24
