"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Zlatan Ibrahimovic","LAG","2019","F","7200000","7200000","2019-09-13"
"Michael Bradley","TOR","2019","M","6000000","6500000","2019-09-13"
"Jozy Altidore","TOR","2019","F","4891250.04","6332250.04","2019-09-13"
"Carlos Vela","LAFC","2019","M","4500000","6300000","2019-09-13"
"Bastian Schweinsteiger","CHI","2019","M","5600000.04","5600000.04","2019-09-13"
"Ignacio Piatti","MTL","2019","M","530000.04","4443333.37","2019-09-13"
"Alejandro Pozuelo","TOR","2019","M","3800000.04","3800000.04","2019-09-13"
"Wayne Rooney","DCU","2019","F","3500000.04","3507500.04","2019-09-13"
"Josef Martínez","ATL","2019","F","3000000","3058333.33","2019-09-13"
"Sebastián Blanco","POR","2019","M","2740008","2853341.33","2019-09-13"
"Nicolás Lodeiro","SEA","2019","M","2000000.04","2502500.04","2019-09-13"
"Nani","ORL","2019","M","2333333.04","2486249.7","2019-09-13"
"Tim Howard","COL","2019","GK","2000000.04","2475000.04","2019-09-13"
"Diego Valeri","POR","2019","M","2319999.96","2419999.96","2019-09-13"
"Carles Gil","NER","2019","M","2100000","2337500","2019-09-13"
"Marco Fabián","PHI","2019","M","2000727.24","2274087.24","2019-09-13"
"Nicolás Gaitán","CHI","2019","M","1400004","2197504","2019-09-13"
"Gustavo Bou","NER","2019","F","2100000","2100000","2019-09-13"
"Albert Rusnák","RSL","2019","M","1800000","2001666.67","2019-09-13"
"Raúl Ruidíaz","SEA","2019","F","2000004","2000004","2019-09-13"
"Maximiliano Moralez","NYC","2019","M","2000000.04","2000000.04","2019-09-13"
"Jonathan dos Santos","LAG","2019","M","2000000.04","2000000.04","2019-09-13"
"Fanendo Adi","CIN","2019","F","1360008","1965008","2019-09-13"
"Romain Alessandrini","LAG","2019","M","1610004","1940004","2019-09-13"
"Nemanja Nikolic","CHI","2019","F","1700000.04","1913333.37","2019-09-13"
"Darwin Quintero","MIN","2019","M","1750000.08","1750000.08","2019-09-13"
"Felipe Gutiérrez","SKC","2019","M","1599999.96","1649999.96","2019-09-13"
"Valeri Qazaishvili","SJE","2019","M","1475004","1604042.36","2019-09-13"
"Bojan Krkić","MTL","2019","F","1232876.64","1532448.56","2019-09-13"
"Dom Dwyer","ORL","2019","F","1320000","1503333.33","2019-09-13"
"Gyasi Zardes","CLB","2019","F","1421666.64","1471666.64","2019-09-13"
"Johnny Russell","SKC","2019","M","1449999.96","1449999.96","2019-09-13"
"Ezequiel Barco","ATL","2019","M","1425000","1425000","2019-09-13"
"Saphir Taïder","MTL","2019","M","1400000.04","1400000.04","2019-09-13"
"Aleksandar Katai","CHI","2019","M","1260000","1380333.33","2019-09-13"
"Bradley Wright-Phillips","NYRB","2019","F","1200000","1380000","2019-09-13"
"Ali Adnan","VAN","2019","D","1200000","1277499.9","2019-09-13"
"Brian Fernández","POR","2019","M","1200000","1275800","2019-09-13"
"Alejandro Bedoya","PHI","2019","M","1200000","1266250","2019-09-13"
"Mauro Manotas","HOU","2019","F","1100049.96","1245049.96","2019-09-13"
"Aljaz Struna","HOU","2019","D","1100000.04","1210000.04","2019-09-13"
"Cristian Pavón","LAG","2019","F","1200000","1200000","2019-09-13"
"Omar González","TOR","2019","D","918000","1193935.5","2019-09-13"
"David Accam","CLB","2019","M","1010004","1137920","2019-09-13"
"Everton Luiz","RSL","2019","D","1000000.08","1100000.08","2019-09-13"
"Federico Higuaín","CLB","2019","M","1100000.04","1100000.04","2019-09-13"
"Sacha Kljestan","ORL","2019","M","1025000.04","1100000.04","2019-09-13"
"Víctor Rodríguez","SEA","2019","M","999999.96","1087499.96","2019-09-13"
"Damir Kreilach","RSL","2019","M","968768.64","1082101.97","2019-09-13"
"Mauricio Pereyra","ORL","2019","M","960000","1078000","2019-09-13"
"Maximiliano Urruti","MTL","2019","F","900000","1071000","2019-09-13"
"Jørgen Skjelvik","LAG","2019","D","999999.96","1066666.63","2019-09-13"
"Krisztián Németh","SKC","2019","F","950000.04","1063666.71","2019-09-13"
"Diego Rossi","LAFC","2019","M","1000000.08","1052000.08","2019-09-13"
"Andreu Fontàs","SKC","2019","D","1050000","1050000","2019-09-13"
"Brian Rodríguez","LAFC","2019","F","700000.08","1039800.08","2019-09-13"
"Michael Mancienne","NER","2019","D","881676","995676","2019-09-13"
"Fredy Montero","VAN","2019","F","768000","968000","2019-09-13"
"Robin Lod","MIN","2019","M","849996","952496","2019-09-13"
"Lamine Sané","ORL","2019","D","902499.96","949999.96","2019-09-13"
"Alexander Ring","NYC","2019","M","849999.96","944999.96","2019-09-13"
"Adama Diomande","LAFC","2019","F","849999.96","934999.96","2019-09-13"
"Ilie Sánchez","SKC","2019","D","900000","900000","2019-09-13"
"Pity Martínez","ATL","2019","M","900000","900000","2019-09-13"
"Jonathan Mensah","CLB","2019","D","800004","894004","2019-09-13"
"Jan Gregus","MIN","2019","M","750000","883500","2019-09-13"
"Jesús Medina","NYC","2019","M","750000","870833.33","2019-09-13"
"Reto Ziegler","FCD","2019","D","820000.08","870000.08","2019-09-13"
"Pedro Santos","CLB","2019","M","817560","864560","2019-09-13"
"Joao Plata","RSL","2019","M","725004","856254","2019-09-13"
"Héctor Villalba","ATL","2019","M","722499.96","830249.96","2019-09-13"
"Leandro González Pirez","ATL","2019","D","775008","810008","2019-09-13"
"Roland Lamah","CIN","2019","M","750000","806250","2019-09-13"
"Chris Wondolowski","SJE","2019","F","800000.04","800000.04","2019-09-13"
"Roger Espinoza","SKC","2019","M","800000.04","800000.04","2019-09-13"
"Aaron Long","NYRB","2019","D","770000.04","800000.04","2019-09-13"
"Alejandro Romero Gamarra","NYRB","2019","M","799999.92","799999.92","2019-09-13"
"Marcelo","CHI","2019","D","774999.96","797499.96","2019-09-13"
"Larrys Mabiala","POR","2019","D","750000","793333.33","2019-09-13"
"Emanuel Cecchini","SEA","2019","M","648000","789000","2019-09-13"
"Héber","NYC","2019","F","785000.04","788750.04","2019-09-13"
"Diego Polenta","LAG","2019","D","687276","777276","2019-09-13"
"Kendall Waston","CIN","2019","D","750000","776666.67","2019-09-13"
"Marcelo Silva","RSL","2019","D","725004","776629","2019-09-13"
"Jonathan Osorio","TOR","2019","M","750000","776250","2019-09-13"
"Kim Kee-hee","SEA","2019","D","640000.08","772000.08","2019-09-13"
"Daniel Royer","NYRB","2019","M","699999.96","768749.96","2019-09-13"
"Sam Johnson","RSL","2019","F","650000.04","767500.04","2019-09-13"
"Jon Erice","VAN","2019","M","654545.52","752363.7","2019-09-13"
"Tim Parker","NYRB","2019","D","738200.04","752200.04","2019-09-13"
"Kei Kamara","COL","2019","F","750000","750000","2019-09-13"
"Rudy Camacho","MTL","2019","D","700000.08","749152.58","2019-09-13"
"Brad Guzan","ATL","2019","GK","680004","740004","2019-09-13"
"Román Torres","SEA","2019","D","670000.08","740000.08","2019-09-13"
"Andrés Ríos","SJE","2019","F","660000","729250","2019-09-13"
"Giancarlo González","LAG","2019","D","650000.04","719583.37","2019-09-13"
"Edwin Gyasi","FCD","2019","M","570000","719225","2019-09-13"
"Carlos Fierro","SJE","2019","M","660000","718800","2019-09-13"
