"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"SKC","2019","34","499","463","46","67","-21","58.4137","55.5956","2.8181","-23.8181","38","48.327"
"CHV","2014","34","322","439","28","61","-33","31.6545","45.9238","-14.2693","-18.7307","33","36.492"
"CIN","2019","34","359","512","29","74","-45","36.0908","64.2632","-28.1725","-16.8275","24","29.706"
"SJE","2017","34","469","450","39","58","-19","44.771","47.3386","-2.5676","-16.4324","46","46.272"
"CLB","2018","34","497","366","41","43","-2","52.2094","38.0699","14.1395","-16.1395","51","57.27"
"DCU","2017","34","402","501","27","57","-30","39.9886","54.8714","-14.8828","-15.1172","32","37.897"
"COL","2014","34","475","377","42","61","-19","44.0026","48.1566","-4.154","-14.846","32","45.289"
"TOR","2014","34","461","434","43","52","-9","49.9749","44.5814","5.3935","-14.3935","41","50.172"
"CLB","2016","34","463","427","48","55","-7","57.3256","50.2463","7.0793","-14.0793","36","51.479"
"MTL","2014","34","393","458","38","57","-19","42.4962","47.7637","-5.2675","-13.7324","28","43.01"
"HOU","2019","34","454","485","45","59","-14","51.2579","52.558","-1.3001","-12.6999","40","48.02"
"ORL","2018","34","439","483","41","72","-31","45.5524","64.6408","-19.0884","-11.9116","28","35.521"
"FCD","2017","34","481","375","48","48","0","50.7988","38.8972","11.9016","-11.9016","46","54.084"
"DCU","2013","34","400","468","21","55","-34","30.3959","52.5322","-22.1363","-11.8637","16","31.241"
"NER","2017","34","434","418","53","61","-8","49.4401","45.8288","3.6113","-11.6113","45","49.081"
"SJE","2013","34","439","437","34","42","-8","44.0812","40.5019","3.5793","-11.5793","51","48.875"
"LAG","2013","34","489","326","52","38","14","54.4117","29.1056","25.3061","-11.3061","53","62.019"
"CHI","2015","34","467","395","43","55","-12","45.8715","46.5905","-0.7189","-11.2811","30","45.708"
"POR","2016","34","449","492","48","51","-3","54.1869","46.1282","8.0586","-11.0586","44","51.147"
"CHV","2013","34","333","522","28","66","-38","28.4552","55.9239","-27.4686","-10.5314","26","27.608"
"MTL","2019","34","391","376","44","59","-15","42.6995","47.3056","-4.6062","-10.3938","41","44.923"
"SJE","2018","34","438","515","47","71","-24","45.9493","59.7316","-13.7823","-10.2177","21","37.883"
"ORL","2015","34","382","434","41","55","-14","42.6842","46.925","-4.2408","-9.7592","44","44.2"
"HOU","2014","34","450","481","37","57","-20","46.0773","56.5541","-10.4769","-9.5231","39","39.63"
"MIN","2018","34","376","550","48","70","-22","45.2697","57.9911","-12.7215","-9.2785","36","40.118"
"TOR","2018","34","485","462","58","64","-6","58.5811","55.3879","3.1932","-9.1932","36","48.378"
"SJE","2019","34","595","445","50","53","-3","57.7951","51.8052","5.9899","-8.9899","44","51.094"
"LAG","2017","34","399","505","42","66","-24","40.0879","55.1189","-15.0309","-8.9691","32","38.313"
"CHI","2016","34","394","504","40","56","-16","41.2856","48.369","-7.0834","-8.9166","31","41.404"
"PHI","2015","34","381","413","40","54","-14","40.0997","45.4706","-5.3709","-8.6291","37","43.689"
"ATL","2018","34","511","377","67","44","23","71.88","40.5083","31.3717","-8.3717","69","64.496"
"VAN","2014","34","452","442","41","40","1","45.617","36.8401","8.7769","-7.777","50","51.104"
"TOR","2015","34","468","410","57","56","1","49.5144","41.0181","8.4963","-7.4963","49","52.353"
"SEA","2013","34","411","431","39","42","-3","42.8384","38.3749","4.4635","-7.4635","52","51.344"
"ORL","2019","34","386","467","44","50","-6","46.4932","45.401","1.0922","-7.0922","37","47.442"
"PHI","2016","34","425","443","50","54","-4","49.3964","46.5885","2.8079","-6.8079","42","47.303"
"POR","2015","34","486","405","41","39","2","45.4286","36.9126","8.516","-6.516","53","54.027"
"RSL","2017","34","548","420","49","54","-5","53.0374","51.8126","1.2248","-6.2248","45","47.664"
"SJE","2016","34","409","411","32","38","-6","42.4165","42.3337","0.0828","-6.0828","38","46.529"
"CHI","2019","34","478","379","53","47","6","58.1443","46.3299","11.8144","-5.8144","42","53.693"
"NER","2016","34","475","447","41","54","-13","47.142","54.8519","-7.7099","-5.2901","42","42.266"
"CLB","2013","34","479","446","41","46","-5","44.8648","44.5887","0.2761","-5.2761","41","47.14"
"CHI","2013","34","505","475","45","49","-4","47.933","46.6954","1.2376","-5.2376","49","47.151"
"COL","2018","34","380","525","34","61","-27","36.8396","58.7127","-21.8731","-5.1269","31","34.651"
"ORL","2017","34","419","409","39","56","-17","37.7082","49.7937","-12.0855","-4.9145","39","40.268"
"TOR","2013","34","345","469","28","46","-18","31.9795","45.2155","-13.236","-4.764","29","36.754"
"HOU","2018","34","474","413","58","56","2","55.9726","49.6383","6.3343","-4.3343","38","50.597"
"VAN","2018","34","419","516","53","64","-11","51.5699","58.3668","-6.797","-4.203","47","43.835"
"SKC","2016","34","478","323","42","38","4","46.5519","38.3525","8.1993","-4.1993","47","51.371"
"CLB","2019","34","395","442","37","47","-10","42.2904","48.1324","-5.842","-4.158","38","43.172"
"CHI","2014","34","423","412","41","50","-9","41.7591","47.0535","-5.2944","-3.7056","36","41.7"
"PHI","2018","34","475","428","49","49","0","54.1074","50.4491","3.6584","-3.6583","50","50.37"
"PHI","2014","34","467","406","50","49","1","52.0567","47.6191","4.4376","-3.4376","42","50.258"
